127.0.0.1 - - [07/Feb/2020:14:29:08 +0800] "GET / HTTP/1.1" 200 11418
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:30:39 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/pagination_icons.png HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:30:39 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/edit_remove.png HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:30:39 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/combo_arrow.png HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:30:40 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/loading.gif HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:30:40 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/edit_add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:30:40 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/search.png HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:30:48 +0800] "POST /06.mybatis+spring+springMVC/customer/listByPage.action HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:31:15 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/messager_icons.png HTTP/1.1" 200 6116
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:31:18 +0800] "GET /06.mybatis+spring+springMVC/customer/findById.action?id=2 HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:32:46 +0800] "GET /06.mybatis+spring+springMVC/index.jsp HTTP/1.1" 200 4816
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:32:46 +0800] "GET /06.mybatis+spring+springMVC/easyui/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:32:46 +0800] "GET /06.mybatis+spring+springMVC/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:32:46 +0800] "GET /06.mybatis+spring+springMVC/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:32:46 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:32:46 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:32:46 +0800] "GET /06.mybatis+spring+springMVC/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:32:46 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:32:46 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/reload.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:32:46 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/filesave.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:32:46 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/accordion_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:32:46 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/panel_tools.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:32:46 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/pencil.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:32:46 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/layout_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:32:46 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/blank.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:32:46 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/menu_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:32:47 +0800] "GET /06.mybatis+spring+springMVC/jobTest.jsp HTTP/1.1" 200 8715
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:32:48 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:32:48 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/pagination_icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:32:48 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/combo_arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:32:48 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/edit_add.png HTTP/1.1" 304 -
